Team,Player,PlayerID,GP,GA,GAA,SA,SV,SV%,Shutouts,W,L,OT/SOL,TOI,ATOI
ANA,Lukáš Dostál,dostalu01,44,129,3.33,1310,1181,89.09%,2,16,28,3,2322.82,52.79
SEA,Chris Driedger,driedch01,2,5,2.51,60,55,89.60%,0,1,1,1,119.58,59.79
PHI,Samuel Ersson,erssosa01,51,132,2.82,1204,1072,87.87%,4,23,28,8,2809.47,55.09
PHI,Ivan Fedotov,fedotiv01,3,10,4.95,53,43,79.53%,0,1,3,1,121.15,40.38
MIN,Marc-André Fleury,fleurma01,40,111,2.98,1056,945,89.17%,2,18,22,5,2232.67,55.82
OTT,Anton Forsberg,forsban01,30,84,3.21,765,681,86.42%,2,15,15,1,1569.75,52.33
COL,Alexandar Georgiev,georgal01,63,183,3.02,1770,1587,89.25%,2,40,23,5,3637.95,57.75
ANA,John Gibson,gibsojo02,46,151,3.54,1343,1192,88.17%,1,14,32,2,2561.48,55.68
CBJ,Jet Greaves,greavje01,9,30,3.49,327,297,90.70%,0,3,6,1,515.87,57.32
SEA,Philipp Grubauer,grubaph01,36,95,2.85,941,846,87.86%,2,14,22,4,1996.6,55.46
MIN,Filip Gustavsson,gustafi01,45,129,3.06,1283,1154,88.14%,3,22,23,5,2526.55,56.15
PHI,Carter Hart,hartca01,26,68,2.8,727,659,89.54%,2,13,13,3,1455.18,55.97
PIT,Magnus Hellberg,hellbma01,3,5,2.5,64,59,93.30%,1,2,1,1,119.88,39.96
WPG,Connor Hellebuyck,helleco01,60,142,2.39,1798,1656,91.77%,5,37,23,4,3567.33,59.46
VEG,Adin Hill,hillad01,35,89,2.71,979,890,89.96%,3,20,15,2,1968.82,56.25
