GameID,Date,Player,PlayerID,Team,Location,Opp,Result,OT/SO,GA,SA,SV,SV%,PIM,TOI
202401130FLA,1/13/2024,Sergei Bobrovsky,bobrose01,FLA,vs,NJD,L,,3,21,18,85.70%,0,57.2
202401170FLA,1/17/2024,Sergei Bobrovsky,bobrose01,FLA,vs,DET,L,OT,3,29,26,89.70%,0,60.92
202401190FLA,1/19/2024,Sergei Bobrovsky,bobrose01,FLA,vs,MIN,L,,4,15,11,73.30%,2,30.53
202401240FLA,1/24/2024,Sergei Bobrovsky,bobrose01,FLA,vs,ARI,W,,2,33,31,93.90%,0,60
202401260PIT,1/26/2024,Sergei Bobrovsky,bobrose01,FLA,@,PIT,W,SO,2,37,35,94.60%,0,65
202402080FLA,2/8/2024,Sergei Bobrovsky,bobrose01,FLA,vs,WSH,W,,2,23,21,91.30%,0,60
202402100FLA,2/10/2024,Sergei Bobrovsky,bobrose01,FLA,vs,COL,W,,0,34,34,100.00%,0,59.52
202402140PIT,2/14/2024,Sergei Bobrovsky,bobrose01,FLA,@,PIT,W,,2,27,25,92.60%,0,60
202402170TBL,2/17/2024,Sergei Bobrovsky,bobrose01,FLA,@,TBL,W,,2,30,28,93.30%,0,60
202402200FLA,2/20/2024,Sergei Bobrovsky,bobrose01,FLA,vs,OTT,W,OT,2,30,28,93.30%,0,61.6
202402220CAR,2/22/2024,Sergei Bobrovsky,bobrose01,FLA,@,CAR,L,,1,29,28,96.60%,0,59.68
202402270FLA,2/27/2024,Sergei Bobrovsky,bobrose01,FLA,vs,BUF,W,,2,30,28,93.30%,0,59.63
202403020DET,3/2/2024,Sergei Bobrovsky,bobrose01,FLA,@,DET,W,,0,21,21,100.00%,0,59.62
202403040NYR,3/4/2024,Sergei Bobrovsky,bobrose01,FLA,@,NYR,W,,2,28,26,92.90%,0,60
202403070FLA,3/7/2024,Sergei Bobrovsky,bobrose01,FLA,vs,PHI,L,,2,26,24,92.30%,0,59.63
202403120DAL,3/12/2024,Sergei Bobrovsky,bobrose01,FLA,@,DAL,W,,3,30,27,90.00%,0,60
202403140CAR,3/14/2024,Sergei Bobrovsky,bobrose01,FLA,@,CAR,L,,3,34,31,91.20%,0,59.3
202403160FLA,3/16/2024,Sergei Bobrovsky,bobrose01,FLA,vs,TBL,L,,4,15,11,73.30%,0,57.15
202403210FLA,3/21/2024,Sergei Bobrovsky,bobrose01,FLA,vs,NSH,L,,3,37,34,91.90%,0,59.57
202403230NYR,3/23/2024,Sergei Bobrovsky,bobrose01,FLA,@,NYR,L,SO,3,37,34,91.90%,0,65
202403260FLA,3/26/2024,Sergei Bobrovsky,bobrose01,FLA,vs,BOS,L,,4,21,17,81.00%,0,57.75
202403300FLA,3/30/2024,Sergei Bobrovsky,bobrose01,FLA,vs,DET,W,SO,2,22,20,90.90%,0,65
202404010TOR,4/1/2024,Sergei Bobrovsky,bobrose01,FLA,@,TOR,L,,5,16,11,68.80%,0,40
202404040OTT,4/4/2024,Sergei Bobrovsky,bobrose01,FLA,@,OTT,W,,0,30,30,100.00%,0,60
202404060BOS,4/6/2024,Sergei Bobrovsky,bobrose01,FLA,@,BOS,L,OT,3,29,26,89.70%,0,62.08
202404110FLA,4/11/2024,Sergei Bobrovsky,bobrose01,FLA,vs,CBJ,W,,0,25,25,100.00%,0,60
202404130FLA,4/13/2024,Sergei Bobrovsky,bobrose01,FLA,vs,BUF,W,OT,2,29,27,93.10%,0,63.97
202310190WPG,10/19/2023,Laurent Brossoit,brossla01,WPG,vs,VEG,L,,4,26,22,84.60%,0,59.4
202310280MTL,10/28/2023,Laurent Brossoit,brossla01,WPG,@,MTL,L,SO,3,29,26,89.70%,0,65
202311090WPG,11/9/2023,Laurent Brossoit,brossla01,WPG,vs,NSH,W,,3,23,20,87.00%,0,60
202311180WPG,11/18/2023,Laurent Brossoit,brossla01,WPG,vs,ARI,W,,2,18,16,88.90%,0,60
202311260NSH,11/26/2023,Laurent Brossoit,brossla01,WPG,@,NSH,L,,3,26,23,88.50%,0,58.48
202312040WPG,12/4/2023,Laurent Brossoit,brossla01,WPG,vs,CAR,W,,1,43,42,97.70%,0,60
202312120SJS,12/12/2023,Laurent Brossoit,brossla01,WPG,@,SJS,L,,2,32,30,93.80%,0,57.97
