GameID,Team,Time,Player,PlayerID,Penalty,PIM
202401210ANA,NYR,7.22,Vincent Trocheck,trochvi01,Illegal Check to Head,2 min
202401210ANA,ANA,10.55,Mason McTavish,mctavma01,Holding,2 min
202401210ANA,ANA,17.6,Urho Vaakanainen,vaakaur01,Hooking,2 min
202401210ANA,NYR,19.15,Chris Kreider,kreidch01,Cross Checking,2 min
202401210ANA,ANA,54.15,Mason McTavish,mctavma01,Tripping,2 min
202401230ANA,ANA,16.55,Cam Fowler,fowleca01,Holding,2 min
202401230ANA,BUF,21.88,Henri Jokiharju,jokihhe01,Tripping,2 min
202401230ANA,BUF,34.1,Mattias Samuelsson,samuema02,Tripping,2 min
202401230ANA,ANA,34.22,Mason McTavish,mctavma01,Unsportsmanlike Conduct,2 min
202401230ANA,BUF,41.63,Henri Jokiharju,jokihhe01,Slashing,2 min
202401230ANA,ANA,54.03,Radko Gudas,gudasra01,Interference,2 min
202401230ANA,ANA,59.33,Sam Carrick,carrisa01,Misconduct,10 min
202401230ANA,ANA,59.33,Adam Henrique,henriad01,Misconduct,10 min
202401230ANA,BUF,59.33,Peyton Krebs,krebspe01,Interference,2 min
202401230ANA,BUF,59.33,Peyton Krebs,krebspe01,Roughing,2 min
202401230ANA,BUF,59.33,Peyton Krebs,krebspe01,Misconduct,10 min
202401230ANA,ANA,59.33,Mason McTavish,mctavma01,Roughing,2 min
202401230ANA,ANA,59.33,Mason McTavish,mctavma01,Misconduct,10 min
202401230ANA,BUF,59.33,Kyle Okposo,okposky01,Misconduct,10 min
202401310ANA,ANA,5.73,Brett Leason,leasobr01,Tripping,2 min
202401310ANA,ANA,11.32,Ryan Strome,stromry01,High Sticking,2 min
202401310ANA,SJS,14.57,Calen Addison,addisca01,Slashing,2 min
202401310ANA,SJS,18.78,Shakir Mukhamadullin,mukhash01,Tripping,2 min
202401310ANA,ANA,39.32,Radko Gudas,gudasra01,Roughing,2 min
202401310ANA,SJS,39.32,Luke Kunin,kuninlu01,Roughing,2 min
202401310ANA,SJS,45.13,William Eklund,eklunwi01,Hooking,2 min
202401310ANA,ANA,53.03,Ross Johnston,johnsro02,Cross Checking,2 min
202401310ANA,ANA,53.03,Ross Johnston,johnsro02,Misconduct,10 min
202401310ANA,SJS,55.2,Bench,,Too Many Men on the Ice,2 min
202402090ANA,ANA,7.28,Jackson LaCombe,lacomja01,Slashing,2 min
202402090ANA,EDM,16.97,Connor McDavid,mcdavco01,Interference,2 min
202402090ANA,EDM,42.67,Evan Bouchard,bouchev01,High Sticking,2 min
202402090ANA,ANA,49.05,Leo Carlsson,carlsle01,Tripping,2 min
202402210ANA,ANA,14.55,Cam Fowler,fowleca01,Cross Checking,2 min
202402210ANA,ANA,22.87,Ross Johnston,johnsro02,Fighting,5 min
202402210ANA,CBJ,22.87,Mathieu Olivier,olivima01,Fighting,5 min
202402210ANA,CBJ,32.85,Cole Sillinger,sillico01,Holding,2 min
202402210ANA,CBJ,37.6,Boone Jenner,jennebo01,Tripping,2 min
202402210ANA,ANA,38.62,Ryan Strome,stromry01,Slashing,2 min
202402210ANA,CBJ,45.95,Justin Danforth,danfoju01,Unsportsmanlike Conduct,2 min
202402210ANA,ANA,45.95,Radko Gudas,gudasra01,Unsportsmanlike Conduct,2 min
202402210ANA,CBJ,45.95,Mathieu Olivier,olivima01,Unsportsmanlike Conduct,2 min
202402210ANA,ANA,45.95,Frank Vatrano,vatrafr01,Unsportsmanlike Conduct,2 min
202402210ANA,CBJ,55.32,Erik Gudbranson,gudbrer01,Delay of Game,2 min
202402210ANA,CBJ,57.63,Jack Roslovic,rosloja01,High Sticking,2 min
