Gm,GameID,Date,Team,Location,Opp,G,GA,Result,OT/SO,SOG,PIM,SOGA,PIMA,CF at EV,CA at EV,CF% at EV,FF at EV,FA at EV,FF% at EV,FOW at EV,FOL at EV
14,202311110NSH,11/11/2023,ARI,@,NSH,7,5,W,,25,8,42,8,39,56,41.1,30,43,41.1,20,19
15,202311140DAL,11/14/2023,ARI,@,DAL,3,4,L,OT,26,8,36,4,37,65,36.3,28,45,38.4,17,26
16,202311160CBJ,11/16/2023,ARI,@,CBJ,3,2,W,,32,6,41,4,50,78,39.1,37,53,41.1,20,27
17,202311180WPG,11/18/2023,ARI,@,WPG,2,5,L,,18,7,26,9,41,39,51.3,25,33,43.1,28,27
18,202311200ARI,11/20/2023,ARI,vs,LAK,1,4,L,,31,23,25,17,37,36,50.7,24,27,47.1,19,24
19,202311220ARI,11/22/2023,ARI,vs,STL,5,6,L,,25,18,31,6,62,49,55.9,47,37,56,21,30
20,202311250VEG,11/25/2023,ARI,@,VEG,2,0,W,,18,12,34,6,38,47,44.7,23,34,40.4,14,23
21,202311280ARI,11/28/2023,ARI,vs,TBL,3,1,W,,27,9,31,9,40,66,37.7,31,43,41.9,17,19
22,202311300ARI,11/30/2023,ARI,vs,COL,4,3,W,OT,32,11,31,11,51,49,51,36,36,50,16,22
23,202312020ARI,12/02/2023,ARI,vs,STL,4,1,W,,22,8,32,6,39,63,38.2,33,47,41.3,35,22
24,202312040ARI,12/04/2023,ARI,vs,WSH,6,0,W,,27,10,26,10,32,47,40.5,23,29,44.2,25,16
25,202312070ARI,12/07/2023,ARI,vs,PHI,1,4,L,,26,0,26,6,60,47,56.1,41,38,51.9,23,23
26,202312090BOS,12/09/2023,ARI,@,BOS,3,5,L,,33,6,29,10,43,40,51.8,30,30,50,10,32
27,202312110BUF,12/11/2023,ARI,@,BUF,2,5,L,,23,4,38,6,36,55,39.6,27,44,38,20,29
28,202312120PIT,12/12/2023,ARI,@,PIT,2,4,L,,21,10,43,12,45,62,42.1,31,50,38.3,15,29
29,202312150ARI,12/15/2023,ARI,vs,SJS,1,0,W,,24,0,21,8,46,51,47.4,32,36,47.1,30,20
30,202312160ARI,12/16/2023,ARI,vs,BUF,2,0,W,,22,4,28,6,54,55,49.5,34,38,47.2,18,15
31,202312190ARI,12/19/2023,ARI,vs,OTT,4,3,W,,38,15,22,15,67,44,60.4,46,32,59,28,24
32,202312210SJS,12/21/2023,ARI,@,SJS,5,2,W,,30,2,31,6,56,59,48.7,37,41,47.4,16,22
33,202312230COL,12/23/2023,ARI,@,COL,1,4,L,,25,9,26,11,35,33,51.5,28,25,52.8,18,19
34,202312270ARI,12/27/2023,ARI,vs,COL,5,4,W,OT,27,8,24,4,58,38,60.4,43,30,58.9,21,25
35,202312290ANA,12/29/2023,ARI,@,ANA,2,0,W,,32,10,28,10,57,46,55.3,41,34,54.7,19,31
36,202401020ARI,01/02/2024,ARI,vs,FLA,1,4,L,,22,40,38,23,40,51,44,31,41,43.1,13,31
37,202401040ARI,01/04/2024,ARI,vs,NYI,1,5,L,,27,4,31,4,51,42,54.8,35,34,50.7,16,27
38,202401070ARI,01/07/2024,ARI,vs,WPG,2,6,L,,17,13,36,9,42,55,43.3,30,41,42.3,22,28
39,202401090ARI,01/09/2024,ARI,vs,BOS,4,3,W,OT,36,19,33,17,60,47,56.1,48,31,60.8,23,33
40,202401110ARI,01/11/2024,ARI,vs,CGY,2,6,L,,34,8,30,4,69,41,62.7,42,33,56,16,25
41,202401130MIN,01/13/2024,ARI,@,MIN,6,0,W,,33,18,38,18,47,57,45.2,38,41,48.1,17,25
42,202401160CGY,01/16/2024,ARI,@,CGY,2,3,L,OT,25,12,30,8,51,33,60.7,34,24,58.6,17,22
43,202401180VAN,01/18/2024,ARI,@,VAN,1,2,L,,21,17,26,11,36,30,54.5,25,24,51,14,26
44,202401200ARI,01/20/2024,ARI,vs,NSH,3,2,W,,24,12,32,4,50,49,50.5,37,35,51.4,24,17
45,202401220ARI,01/22/2024,ARI,vs,PIT,5,2,W,,26,6,27,6,51,41,55.4,36,30,54.5,20,35
46,202401240FLA,01/24/2024,ARI,@,FLA,2,6,L,,33,30,42,36,44,41,51.8,37,36,50.7,25,27
47,202401250TBL,01/25/2024,ARI,@,TBL,3,6,L,,20,26,37,12,42,45,48.3,25,33,43.1,17,19
48,202401270CAR,01/27/2024,ARI,@,CAR,1,3,L,,11,6,39,4,29,81,26.4,16,57,21.9,14,33
49,202402080ARI,02/08/2024,ARI,vs,VEG,2,3,L,,22,2,34,2,66,53,55.5,44,39,53,26,18
50,202402100NSH,02/10/2024,ARI,@,NSH,4,5,L,OT,31,12,37,10,46,55,45.5,33,39,45.8,24,23
51,202402120PHI,02/12/2024,ARI,@,PHI,3,5,L,,23,14,34,8,43,48,47.3,33,37,47.1,22,33
52,202402140ARI,02/14/2024,ARI,vs,MIN,1,3,L,,26,10,43,6,57,49,53.8,39,39,50,23,23
53,202402160ARI,02/16/2024,ARI,vs,CAR,1,5,L,,31,4,30,8,44,52,45.8,35,40,46.7,15,35
54,202402180COL,02/18/2024,ARI,@,COL,3,4,L,,30,10,37,14,29,40,42,20,31,39.2,23,22
55,202402190ARI,02/19/2024,ARI,vs,EDM,3,6,L,,25,6,26,6,58,46,55.8,39,35,52.7,20,24
56,202402210ARI,02/21/2024,ARI,vs,TOR,3,6,L,,26,14,36,10,52,44,54.2,35,34,50.7,21,24
57,202402250WPG,02/25/2024,ARI,@,WPG,3,4,L,OT,32,11,32,9,55,53,50.9,42,38,52.5,23,24
58,202402270MTL,02/27/2024,ARI,@,MTL,2,4,L,,38,0,21,6,69,39,63.9,45,27,62.5,17,25
59,202402290TOR,02/29/2024,ARI,@,TOR,2,4,L,,32,17,26,5,72,54,57.1,45,38,54.2,26,25
60,202403010OTT,03/01/2024,ARI,@,OTT,5,3,W,,30,10,37,12,51,53,49,37,42,46.8,27,28
61,202403030WSH,03/03/2024,ARI,@,WSH,5,2,W,,28,14,26,22,54,28,65.9,31,20,60.8,21,15
62,202403050ARI,03/05/2024,ARI,vs,CHI,2,5,L,,39,10,32,4,56,44,56,42,30,58.3,24,24
63,202403070ARI,03/07/2024,ARI,vs,MIN,2,5,L,,25,34,28,26,55,50,52.4,31,35,47,22,23
64,202403080ARI,03/08/2024,ARI,vs,DET,4,0,W,,24,2,28,4,46,54,46,34,42,44.7,22,22
65,202403100CHI,03/10/2024,ARI,@,CHI,4,7,L,,36,15,41,9,49,58,45.8,40,46,46.5,21,24
66,202403120MIN,03/12/2024,ARI,@,MIN,1,4,L,,23,8,31,4,42,54,43.8,30,44,40.5,15,31
67,202403140DET,03/14/2024,ARI,@,DET,4,1,W,,27,10,29,6,56,44,56,37,29,56.1,18,30
68,202403160ARI,03/16/2024,ARI,vs,NJD,4,1,W,,32,9,38,9,47,71,39.8,34,50,40.5,22,27
69,202403200DAL,03/20/2024,ARI,@,DAL,2,5,L,,25,14,33,2,45,52,46.4,34,39,46.6,20,23
70,202403220ARI,03/22/2024,ARI,vs,SEA,2,1,W,OT,26,11,28,9,40,59,40.4,32,43,42.7,22,25
71,202403240ARI,03/24/2024,ARI,vs,DAL,2,4,L,,28,8,35,10,46,61,43,34,44,43.6,18,29
72,202403260ARI,03/26/2024,ARI,vs,CBJ,6,2,W,,35,23,27,19,62,40,60.8,48,29,62.3,16,27
73,202403280ARI,03/28/2024,ARI,vs,NSH,8,4,W,,40,9,37,11,61,66,48,47,51,48,25,24
74,202403300ARI,03/30/2024,ARI,vs,NYR,5,8,L,,32,0,32,6,49,45,52.1,35,38,47.9,31,26
75,202404030ARI,04/03/2024,ARI,vs,VAN,1,2,L,,21,11,33,11,46,58,44.2,30,49,38,20,30
76,202404050ARI,04/05/2024,ARI,vs,VEG,7,4,W,,32,8,24,4,59,40,59.6,39,30,56.5,28,26
77,202404070SJS,04/07/2024,ARI,@,SJS,5,2,W,,28,14,27,18,41,44,48.2,27,33,45,16,21
78,202404090SEA,04/09/2024,ARI,@,SEA,0,5,L,,39,8,25,4,70,46,60.3,52,32,61.9,24,31
79,202404100VAN,04/10/2024,ARI,@,VAN,4,3,W,OT,18,8,26,10,31,62,33.3,25,43,36.8,10,30
80,202404120EDM,04/12/2024,ARI,@,EDM,3,2,W,OT,28,2,41,4,45,73,38.1,35,56,38.5,16,33
81,202404140CGY,04/14/2024,ARI,@,CGY,5,6,L,,35,11,31,11,62,44,58.5,43,35,55.1,22,33
82,202404170ARI,04/17/2024,ARI,vs,EDM,5,2,W,,24,4,30,4,34,56,37.8,28,43,39.4,20,28
