Game_ID,Home Team,Away Team,Period,Time,Team,Info,Scorer,Scorer_ID,Assist1,Assist1_ID,Assist2,Assist2_ID
202312210ANA,ANA,CGY,2nd Period,7:49,CGY,PP,Elias Lindholm,lindhel01,Nazem Kadri,kadrina01,Yegor Sharangovich,sharaye01
202312210ANA,ANA,CGY,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period
202312210ANA,ANA,CGY,3rd Period,18:00,CGY,EN,A.J. Greer,greeraj01,Elias Lindholm,lindhel01,Elias Lindholm,lindhel01
202312230ANA,ANA,SEA,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period
202312230ANA,ANA,SEA,1st Period,13:26,SEA,PP,Oliver Bjorkstrand,bjorkol01,Jared McCann,mccanja01,Vince Dunn,dunnvi02
202312230ANA,ANA,SEA,1st Period,16:24,SEA,--,Vince Dunn,dunnvi02,Matthew Beniers,beniema01,Tomáš Tatar,tatarto01
202312230ANA,ANA,SEA,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period
202312230ANA,ANA,SEA,2nd Period,6:18,ANA,PP,Frank Vatrano,vatrafr01,--,--,--,--
202312230ANA,ANA,SEA,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period
202312230ANA,ANA,SEA,3rd Period,8:25,SEA,--,Tomáš Tatar,tatarto01,Vince Dunn,dunnvi02,Matthew Beniers,beniema01
202312230ANA,ANA,SEA,3rd Period,14:01,ANA,--,Trevor Zegras,zegratr01,Pavel Mintyukov,mintypa01,Troy Terry,terrytr01
202312270ANA,ANA,VEG,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period
202312270ANA,ANA,VEG,1st Period,3:23,ANA,--,Brett Leason,leasobr01,Cam Fowler,fowleca01,Adam Henrique,henriad01
202312270ANA,ANA,VEG,1st Period,8:23,ANA,--,Jamie Drysdale,drysdja01,Mason McTavish,mctavma01,Ryan Strome,stromry01
202312270ANA,ANA,VEG,1st Period,11:38,ANA,--,Frank Vatrano,vatrafr01,Mason McTavish,mctavma01,Ilya Lyubushkin,lyubuil01
202312270ANA,ANA,VEG,1st Period,12:18,ANA,--,Troy Terry,terrytr01,Alex Killorn,killoal01,Trevor Zegras,zegratr01
202312270ANA,ANA,VEG,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period
202312270ANA,ANA,VEG,2nd Period,7:23,VEG,--,Alec Martinez,martial01,Paul Cotter,cottepa01,Paul Cotter,cottepa01
202312270ANA,ANA,VEG,2nd Period,12:34,VEG,PP,Mark Stone,stonema01,William Karlsson,karlswi01,Jonathan Marchessault,audymjo01
202312270ANA,ANA,VEG,2nd Period,17:45,ANA,--,Brett Leason,leasobr01,Mason McTavish,mctavma01,Cam Fowler,fowleca01
202312290ANA,ANA,ARI,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period
202312290ANA,ANA,ARI,1st Period,7:38,ARI,PP,Clayton Keller,kellecl01,Nick Schmaltz,schmani01,Alexander Kerfoot,kerfoal01
202312290ANA,ANA,ARI,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period
202312290ANA,ANA,ARI,2nd Period,10:05,ARI,--,Lawson Crouse,crousla01,Matias Maccelli,maccema01,Matias Maccelli,maccema01
202312310ANA,ANA,EDM,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period
202312310ANA,ANA,EDM,1st Period,4:15,EDM,--,Ryan McLeod,mcleory01,Warren Foegele,foegewa01,Warren Foegele,foegewa01
