Game ID,Period,Time,Team,Player,Player_ID,Penalty,PIM
202402210ANA,3rd Period,5.95,CBJ,Justin Danforth,danfoju01,Unsportsmanlike Conduct,2 min
202402210ANA,3rd Period,5.95,ANA,Radko Gudas,gudasra01,Unsportsmanlike Conduct,2 min
202402210ANA,3rd Period,5.95,CBJ,Mathieu Olivier,olivima01,Unsportsmanlike Conduct,2 min
202402210ANA,3rd Period,5.95,ANA,Frank Vatrano,vatrafr01,Unsportsmanlike Conduct,2 min
202402210ANA,3rd Period,15.32,CBJ,Erik Gudbranson,gudbrer01,Delay of Game,2 min
202402210ANA,3rd Period,17.63,CBJ,Jack Roslovic,rosloja01,High Sticking,2 min
,1st Period,,,,,,
202402250ANA,1st Period,11.25,ANA,Sam Carrick,carrisa01,Tripping,2 min
202402250ANA,1st Period,17.95,ANA,Sam Carrick,carrisa01,Fighting,5 min
202402250ANA,1st Period,17.95,NSH,Jeremy Lauzon,lauzoje01,Fighting,5 min
,2nd Period,,,,,,
202402250ANA,2nd Period,1.38,ANA,Radko Gudas,gudasra01,Tripping,2 min
202402250ANA,2nd Period,8.85,NSH,Alexandre Carrier,carrial01,Interference,2 min
202402250ANA,2nd Period,13.1,ANA,Radko Gudas,gudasra01,High Sticking,2 min
202402250ANA,2nd Period,17.9,ANA,Radko Gudas,gudasra01,Holding,2 min
,3rd Period,,,,,,
202402250ANA,3rd Period,0.77,NSH,Kiefer Sherwood,sherwki01,Tripping,2 min
202402250ANA,3rd Period,18.68,NSH,Roman Josi,josiro01,Delay of Game,2 min
,1st Period,,,,,,
