Game_ID,Home Team,Away Team,Period,Time,Team,Player,Player_ID,Penalty,PIM
202311300ANA,ANA,WSH,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period
202311300ANA,ANA,WSH,1st Period,5:05,WSH,Tom Wilson,wilsoto01,Boarding,2 min
202311300ANA,ANA,WSH,1st Period,13:12,ANA,Adam Henrique,henriad01,Holding,2 min
202311300ANA,ANA,WSH,1st Period,13:42,WSH,Tom Wilson,wilsoto01,Slashing,2 min
202311300ANA,ANA,WSH,1st Period,18:28,ANA,Alex Killorn,killoal01,Cross Checking,2 min
202311300ANA,ANA,WSH,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period
202311300ANA,ANA,WSH,2nd Period,1:43,WSH,Evgeny Kuznetsov,kuzneev01,Holding,2 min
202311300ANA,ANA,WSH,2nd Period,5:04,WSH,Evgeny Kuznetsov,kuzneev01,Roughing,2 min
202311300ANA,ANA,WSH,2nd Period,5:04,ANA,Mason McTavish,mctavma01,High Sticking,2 min
202311300ANA,ANA,WSH,2nd Period,10:35,WSH,Nicolas Aubé-Kubel,aubekni01,Hooking,2 min
202311300ANA,ANA,WSH,2nd Period,17:02,WSH,Nicolas Aubé-Kubel,aubekni01,Hooking,2 min
202311300ANA,ANA,WSH,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period
202311300ANA,ANA,WSH,3rd Period,3:42,ANA,Troy Terry,terrytr01,Tripping,2 min
202311300ANA,ANA,WSH,3rd Period,4:24,ANA,Ilya Lyubushkin,lyubuil01,Delay of Game,2 min
202311300ANA,ANA,WSH,3rd Period,7:15,ANA,Radko Gudas,gudasra01,Roughing,2 min
202311300ANA,ANA,WSH,3rd Period,7:15,WSH,Connor McMichael,mcmicco01,Roughing,2 min
202311300ANA,ANA,WSH,3rd Period,13:40,ANA,Jakob Silfverberg,silfvja01,Hooking,2 min
202311300ANA,ANA,WSH,3rd Period,15:56,ANA,Frank Vatrano,vatrafr01,Slashing,2 min
202312020ANA,ANA,COL,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period
202312020ANA,ANA,COL,1st Period,1:00,ANA,Benoit-Olivier Groulx,groulbe01,Interference,2 min
202312020ANA,ANA,COL,1st Period,12:57,COL,Josh Manson,mansojo01,Hooking,2 min
202312020ANA,ANA,COL,1st Period,14:59,ANA,Radko Gudas,gudasra01,Tripping,2 min
202312020ANA,ANA,COL,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period
202312020ANA,ANA,COL,2nd Period,8:23,COL,Caleb Jones,jonesca01,Holding,2 min
202312020ANA,ANA,COL,2nd Period,16:15,ANA,Benoit-Olivier Groulx,groulbe01,Holding Stick,2 min
202312020ANA,ANA,COL,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period
202312020ANA,ANA,COL,3rd Period,3:31,COL,Ross Colton,coltoro01,Tripping,2 min
202312100ANA,ANA,WPG,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period
202312100ANA,ANA,WPG,1st Period,7:03,ANA,Troy Terry,terrytr01,Tripping,2 min
202312100ANA,ANA,WPG,1st Period,12:44,ANA,Bench,Bench,Too Many Men on the Ice,2 min
202312100ANA,ANA,WPG,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period
202312100ANA,ANA,WPG,2nd Period,0:27,WPG,Mark Scheifele,scheima01,Fighting,5 min
202312100ANA,ANA,WPG,2nd Period,0:27,ANA,Ryan Strome,stromry01,Kneeing,5 min
202312100ANA,ANA,WPG,2nd Period,0:27,ANA,Ryan Strome,stromry01,Fighting,5 min
202312100ANA,ANA,WPG,2nd Period,0:27,ANA,Ryan Strome,stromry01,Misconduct,10 min
202312100ANA,ANA,WPG,2nd Period,5:43,WPG,Josh Morrissey,morrijo04,Tripping,2 min
202312100ANA,ANA,WPG,2nd Period,14:17,WPG,Neal Pionk,pionkne01,Holding Stick,2 min
202312100ANA,ANA,WPG,2nd Period,17:23,ANA,Brock McGinn,mcginbr01,Tripping,2 min
202312100ANA,ANA,WPG,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period
202312100ANA,ANA,WPG,3rd Period,8:05,ANA,Troy Terry,terrytr01,Hooking,2 min
202312210ANA,ANA,CGY,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period
202312210ANA,ANA,CGY,1st Period,8:51,ANA,Frank Vatrano,vatrafr01,Slashing,2 min
202312210ANA,ANA,CGY,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period
202312210ANA,ANA,CGY,2nd Period,2:52,CGY,Andrew Mangiapane,mangian01,Hooking,2 min
202312210ANA,ANA,CGY,2nd Period,7:33,ANA,Bench,Bench,Too Many Men on the Ice,2 min
202312210ANA,ANA,CGY,2nd Period,10:31,CGY,MacKenzie Weegar,weegama01,Cross Checking,2 min
202312210ANA,ANA,CGY,2nd Period,12:28,ANA,Adam Henrique,henriad01,Tripping,2 min
202312210ANA,ANA,CGY,2nd Period,13:56,ANA,Radko Gudas,gudasra01,High Sticking,4 min
202312210ANA,ANA,CGY,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period
202312210ANA,ANA,CGY,3rd Period,1:26,CGY,Nazem Kadri,kadrina01,Hooking,2 min
202312210ANA,ANA,CGY,3rd Period,3:33,ANA,Leo Carlsson,carlsle01,Tripping,2 min
202312210ANA,ANA,CGY,3rd Period,13:09,CGY,MacKenzie Weegar,weegama01,Delay of Game,2 min
202312210ANA,ANA,CGY,3rd Period,19:56,ANA,Sam Carrick,carrisa01,Cross Checking,2 min
202312210ANA,ANA,CGY,3rd Period,19:56,ANA,Sam Carrick,carrisa01,Fighting,5 min
202312210ANA,ANA,CGY,3rd Period,19:56,CGY,A.J. Greer,greeraj01,Fighting,5 min
202312230ANA,ANA,SEA,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period
202312230ANA,ANA,SEA,1st Period,12:46,ANA,Mason McTavish,mctavma01,Interference,2 min
202312230ANA,ANA,SEA,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period
202312230ANA,ANA,SEA,2nd Period,4:30,SEA,Brandon Tanev,tanevbr01,High Sticking,4 min
202312230ANA,ANA,SEA,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period
202312230ANA,ANA,SEA,3rd Period,5:39,SEA,William Borgen,borgewi01,Interference,2 min
202312270ANA,ANA,VEG,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period
202312270ANA,ANA,VEG,1st Period,1:07,ANA,Urho Vaakanainen,vaakaur01,High Sticking,2 min
202312270ANA,ANA,VEG,1st Period,11:33,ANA,Frank Vatrano,vatrafr01,Cross Checking,2 min
202312270ANA,ANA,VEG,1st Period,12:53,ANA,Trevor Zegras,zegratr01,Hooking,2 min
202312270ANA,ANA,VEG,1st Period,19:55,ANA,Mason McTavish,mctavma01,Delay of Game,2 min
202312270ANA,ANA,VEG,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period
202312270ANA,ANA,VEG,3rd Period,14:09,ANA,Jakob Silfverberg,silfvja01,Hooking,2 min
202312270ANA,ANA,VEG,3rd Period,18:01,VEG,Jack Eichel,eicheja01,Hooking,2 min
202312290ANA,ANA,ARI,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period
202312290ANA,ANA,ARI,1st Period,6:53,ANA,Ilya Lyubushkin,lyubuil01,Hooking,2 min
202312290ANA,ANA,ARI,1st Period,18:52,ARI,Lawson Crouse,crousla01,Roughing,2 min
202312290ANA,ANA,ARI,1st Period,18:52,ANA,Mason McTavish,mctavma01,Roughing,2 min
202312290ANA,ANA,ARI,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period
202312290ANA,ANA,ARI,2nd Period,3:08,ARI,Logan Cooley,coolelo01,Tripping,2 min
202312290ANA,ANA,ARI,2nd Period,5:38,ANA,Sam Carrick,carrisa01,Roughing,2 min
202312290ANA,ANA,ARI,2nd Period,5:38,ANA,Sam Carrick,carrisa01,Roughing,2 min
202312290ANA,ANA,ARI,2nd Period,5:38,ARI,Jack McBain,mcbaija03,Roughing,2 min
202312290ANA,ANA,ARI,2nd Period,14:05,ARI,Travis Dermott,dermotr01,Interference,2 min
202312290ANA,ANA,ARI,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period
202312290ANA,ANA,ARI,3rd Period,0:33,ARI,Zach Sanford,sanfoza01,Holding,2 min
202312290ANA,ANA,ARI,3rd Period,5:27,ANA,Brett Leason,leasobr01,Boarding,2 min
202312310ANA,ANA,EDM,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period
202312310ANA,ANA,EDM,1st Period,14:20,EDM,Brett Kulak,kulakbr01,Interference,2 min
202312310ANA,ANA,EDM,1st Period,17:58,EDM,Mattias Janmark,janmama02,Cross Checking,2 min
202312310ANA,ANA,EDM,1st Period,17:58,EDM,Mattias Janmark,janmama02,Roughing,2 min
202312310ANA,ANA,EDM,1st Period,17:58,ANA,Ilya Lyubushkin,lyubuil01,Roughing,2 min
202312310ANA,ANA,EDM,1st Period,17:58,ANA,Ilya Lyubushkin,lyubuil01,Roughing,2 min
202312310ANA,ANA,EDM,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period
202312310ANA,ANA,EDM,2nd Period,2:10,ANA,Ryan Strome,stromry01,Hooking,2 min
202312310ANA,ANA,EDM,2nd Period,12:30,EDM,Vincent Desharnais,deshavi01,Holding,2 min
202312310ANA,ANA,EDM,2nd Period,13:37,EDM,Mattias Ekholm,ekholma01,Hooking,2 min
202312310ANA,ANA,EDM,2nd Period,13:37,ANA,Ryan Strome,stromry01,Slashing,2 min
202312310ANA,ANA,EDM,2nd Period,20:00,ANA,Adam Henrique,henriad01,Holding,2 min
202312310ANA,ANA,EDM,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period
202312310ANA,ANA,EDM,3rd Period,2:35,EDM,Mattias Ekholm,ekholma01,Fighting,5 min
202312310ANA,ANA,EDM,3rd Period,2:35,ANA,Ryan Strome,stromry01,Fighting,5 min
202312310ANA,ANA,EDM,3rd Period,10:34,EDM,Mattias Janmark,janmama02,Unsportsmanlike Conduct,2 min
