Game_ID,Date,Team,Location,Opp,Result,Scorer,Scorer_ID,Assist1,Assist1_ID,Assist2,Assist2_ID,Goalie,Goalie_ID username,Per.,Time
202402210ANA,2/21/2024,CBJ,@,ANA,W,Zach Werenski,werenza01,Johnny Gaudreau,gaudrjo01,Jack Roslovic,rosloja01,John Gibson,gibsojo02,1,3.53
202402210ANA,2/21/2024,CBJ,@,ANA,W,Johnny Gaudreau,gaudrjo01,Jake Bean,beanja01,--,--,John Gibson,gibsojo02,1,9.53
202402210ANA,2/21/2024,CBJ,@,ANA,W,Zach Werenski,werenza01,Boone Jenner,jennebo01,Jack Roslovic,rosloja01,John Gibson,gibsojo02,1,18.5
202402210ANA,2/21/2024,CBJ,@,ANA,W,Sean Kuraly,kuralse01,Alexandre Texier,texieal01,--,--,John Gibson,gibsojo02,2,2.82
202402210ANA,2/21/2024,CBJ,@,ANA,W,Yegor Chinakhov,chinaye01,Johnny Gaudreau,gaudrjo01,Boone Jenner,jennebo01,John Gibson,gibsojo02,3,6.83
202402210ANA,2/21/2024,CBJ,@,ANA,W,Sean Kuraly,kuralse01,Cole Sillinger,sillico01,Alexandre Texier,texieal01,John Gibson,gibsojo02,3,7.65
202402210ANA,2/21/2024,CBJ,@,ANA,W,Boone Jenner,jennebo01,Damon Severson,severda01,--,--,EN,--,3,19.45
202402240LAK,2/24/2024,LAK,vs,ANA,W,Kevin Fiala,fialake01,Adrian Kempe,kempead01,Drew Doughty,doughdr01,John Gibson,gibsojo02,1,15.38
202402240LAK,2/24/2024,LAK,vs,ANA,W,Drew Doughty,doughdr01,Adrian Kempe,kempead01,Kevin Fiala,fialake01,John Gibson,gibsojo02,2,14.4
202402250ANA,2/25/2024,NSH,@,ANA,W,Roman Josi,josiro01,Filip Forsberg,forsbfi01,Dante Fabbro,fabbrda01,Lukáš Dostál,dostalu01,2,1
202402250ANA,2/25/2024,NSH,@,ANA,W,Filip Forsberg,forsbfi01,Thomas Novak,novakth01,--,--,Lukáš Dostál,dostalu01,3,3.43
202402250ANA,2/25/2024,NSH,@,ANA,W,Michael McCarron,mccarmi01,Dante Fabbro,fabbrda01,Kiefer Sherwood,sherwki01,Lukáš Dostál,dostalu01,3,8.72
202402250ANA,2/25/2024,NSH,@,ANA,W,Gustav Nyquist,nyquigu01,Ryan O'Reilly,oreilry01,--,--,EN,--,3,17.97
202402290SJS,2/29/2024,SJS,vs,ANA,L,Anthony Duclair,duclaan01,Fabian Zetterlund,zettefa01,Nikita Okhotyuk,okhotni01,John Gibson,gibsojo02,1,2.78
202402290SJS,2/29/2024,SJS,vs,ANA,L,Mike Hoffman,hoffmmi02,Fabian Zetterlund,zettefa01,Mikael Granlund,granlmi01,John Gibson,gibsojo02,2,10.43
202402290SJS,2/29/2024,SJS,vs,ANA,L,William Eklund,eklunwi01,Anthony Duclair,duclaan01,Mikael Granlund,granlmi01,John Gibson,gibsojo02,2,15.67
202402290SJS,2/29/2024,SJS,vs,ANA,L,Anthony Duclair,duclaan01,Mikael Granlund,granlmi01,Mike Hoffman,hoffmmi02,John Gibson,gibsojo02,3,9.5
202403010ANA,3/1/2024,NJD,@,ANA,L,Timo Meier,meierti01,Jack Hughes,hugheja03,Tyler Toffoli,toffoty01,Lukáš Dostál,dostalu01,1,17.4
202403010ANA,3/1/2024,NJD,@,ANA,L,Jack Hughes,hugheja03,Luke Hughes,hughelu01,Jesper Bratt,brattje01,Lukáš Dostál,dostalu01,2,15.45
202403010ANA,3/1/2024,NJD,@,ANA,L,Tyler Toffoli,toffoty01,Nico Hischier,hischni01,Luke Hughes,hughelu01,Lukáš Dostál,dostalu01,3,17.05
202403030ANA,3/3/2024,VAN,@,ANA,W,Nils Höglander,hoglani01,Quinn Hughes,hughequ01,Filip Hronek,hronefi01,Lukáš Dostál,dostalu01,1,1.62
202403030ANA,3/3/2024,VAN,@,ANA,W,Conor Garland,garlaco01,Nikita Zadorov,zadorni01,J.T. Miller,millejt01,Lukáš Dostál,dostalu01,2,3.57
202403060ANA,3/6/2024,OTT,@,ANA,L,Mark Kastelic,kastema01,Artem Zub,zubar01,Matthew Highmore,highmma01,Lukáš Dostál,dostalu01,1,2.73
202403080ANA,3/8/2024,DAL,@,ANA,W,Chris Tanev,tanevch01,Roope Hintz,hintzro01,Esa Lindell,lindees01,John Gibson,gibsojo02,1,1.23
202403080ANA,3/8/2024,DAL,@,ANA,W,Roope Hintz,hintzro01,Miro Heiskanen,heiskmi01,Jamie Benn,bennja01,John Gibson,gibsojo02,1,17.32
202403080ANA,3/8/2024,DAL,@,ANA,W,Radek Faksa,faksara01,Sam Steel,steelsa01,Joe Pavelski,paveljo01,John Gibson,gibsojo02,1,18.93
202403080ANA,3/8/2024,DAL,@,ANA,W,Jamie Benn,bennja01,Miro Heiskanen,heiskmi01,Jason Robertson,roberja01,John Gibson,gibsojo02,2,5.52
202403080ANA,3/8/2024,DAL,@,ANA,W,Mason Marchment,marchma01,Jason Robertson,roberja01,--,--,John Gibson,gibsojo02,2,14.3
202403080ANA,3/8/2024,DAL,@,ANA,W,Joe Pavelski,paveljo01,Roope Hintz,hintzro01,Matt Duchene,duchema01,John Gibson,gibsojo02,3,7.3
202403100ANA,3/10/2024,NYI,@,ANA,W,Casey Cizikas,cizikca01,Simon Holmström,holmssi01,--,--,Lukáš Dostál,dostalu01,1,5.18
202403100ANA,3/10/2024,NYI,@,ANA,W,Kyle Palmieri,palmiky01,Mike Reilly,reillmi01,Sebastian Aho,ahose01,Lukáš Dostál,dostalu01,1,7.47
202403100ANA,3/10/2024,NYI,@,ANA,W,Brock Nelson,nelsobr01,Bo Horvat,horvabo01,Mathew Barzal,barzama01,Lukáš Dostál,dostalu01,1,14.47
202403100ANA,3/10/2024,NYI,@,ANA,W,Bo Horvat,horvabo01,Brock Nelson,nelsobr01,Mathew Barzal,barzama01,Lukáš Dostál,dostalu01,3,0.57
202403100ANA,3/10/2024,NYI,@,ANA,W,Pierre Engvall,engvapi01,-,,--,--,Lukáš Dostál,dostalu01,3,7.93
202403100ANA,3/10/2024,NYI,@,ANA,W,Cal Clutterbuck,cluttca01,Matt Martin,martima02,Kyle MacLean,macleky01,Lukáš Dostál,dostalu01,3,18.2
202403120CHI,3/12/2024,CHI,vs,ANA,W,Ryan Donato,donatry01,Taylor Raddysh,raddyta01,Andreas Athanasiou,athanan01,John Gibson,gibsojo02,1,11.45
202403120CHI,3/12/2024,CHI,vs,ANA,W,Philipp Kurashev,kurasph01,Connor Bedard,bedarco01,Nick Foligno,foligni01,John Gibson,gibsojo02,2,3.42
202403120CHI,3/12/2024,CHI,vs,ANA,W,Seth Jones,jonesse01,Nick Foligno,foligni01,Connor Bedard,bedarco01,John Gibson,gibsojo02,2,11.82
202403120CHI,3/12/2024,CHI,vs,ANA,W,Connor Bedard,bedarco01,Philipp Kurashev,kurasph01,Nick Foligno,foligni01,John Gibson,gibsojo02,2,19.52
202403120CHI,3/12/2024,CHI,vs,ANA,W,MacKenzie Entwistle,entwima01,Andreas Athanasiou,athanan01,--,--,John Gibson,gibsojo02,3,2.72
202403120CHI,3/12/2024,CHI,vs,ANA,W,Philipp Kurashev,kurasph01,Connor Bedard,bedarco01,Nick Foligno,foligni01,John Gibson,gibsojo02,3,3.17
202403120CHI,3/12/2024,CHI,vs,ANA,W,Tyler Johnson,johnsty01,Connor Bedard,bedarco01,Philipp Kurashev,kurasph01,Lukáš Dostál,dostalu01,3,10.1
