Game_ID,Home Team,Away Team,Goalie,Goalie_ID,Team,DEC,GA,SA,SV,SV%,SO,PIM,Goalie TOI
202311150CAR,CAR,PHI,Pyotr Kochetkov,kochepy01,CAR,L,3,24,21,0.875,0,0,58:05:00
202311180CAR,CAR,PIT,Tristan Jarry,jarrytr01,PIT,L,3,33,30,0.909,0,0,59:24:00
202311180CAR,CAR,PIT,Empty Net,--,PIT,--,1,1,0,0,0,0,0
202311180CAR,CAR,PIT,Antti Raanta,raantan01,CAR,W,2,28,26,0.929,0,0,60:00:00
202311220CAR,CAR,EDM,Stuart Skinner,skinnst01,EDM,L,4,12,8,0.667,0,0,14:48
202311220CAR,CAR,EDM,Calvin Pickard,pickaca01,EDM,--,1,14,13,0.929,0,0,44:17:00
202311220CAR,CAR,EDM,Empty Net,--,EDM,--,1,1,0,0,0,0,0
202311220CAR,CAR,EDM,Antti Raanta,raantan01,CAR,W,1,8,7,0.875,0,0,20:00
202311220CAR,CAR,EDM,Pyotr Kochetkov,kochepy01,CAR,--,2,15,13,0.867,0,0,40:00:00
202311240CAR,CAR,TBL,Andrei Vasilevskiy,vasilan02,CAR,W,2,24,22,0.917,0,0,60:00:00
202311240CAR,CAR,TBL,Antti Raanta,raantan01,CAR,L,8,14,6,0.429,0,0,59:54:00
202311260CAR,CAR,CBJ,Elvis Merzļikins,merzlel01,CBJ,L,3,43,40,0.93,0,0,58:55:00
202311260CAR,CAR,CBJ,Pyotr Kochetkov,kochepy01,CAR,W,2,23,21,0.913,0,0,60:00:00
202311300CAR,CAR,NYI,Semyon Varlamov,varlasi01,NYI,W,4,43,39,0.907,0,0,62:46:00
202311300CAR,CAR,NYI,Pyotr Kochetkov,kochepy01,CAR,O,5,16,11,0.688,0,0,61:05:00
202312020CAR,CAR,BUF,Eric Comrie,comrier01,BUF,L,6,37,31,0.838,0,0,59:45:00
202312020CAR,CAR,BUF,Pyotr Kochetkov,kochepy01,CAR,W,2,22,20,0.909,0,0,60:00:00
