Game,Date,Game_ID,Team,Location,Opp,G,GA,Result,OT/SO,SOG,PIM,SOGA,PIMA,CF at Even Strength,CA at Even Strength,CF% at Even Strength,FF at Even Strength,FA at Even Strength,FF% at Even Strength,FOW at Even Strength,FOL at Even Strength
21,11/28/2023,202311280MIN,STL,@,MIN,1,3,L,,24,2,37,8,53,57,48.20%,34,45,43.00%,29,20
22,11/30/2023,202311300STL,STL,vs,BUF,6,4,W,,20,6,46,4,38,70,35.20%,33,59,35.90%,24,23
23,12/2/2023,202312020ARI,STL,@,ARI,1,4,L,,32,6,22,8,66,39,62.90%,47,33,58.80%,22,35
24,12/4/2023,202312040VEG,STL,@,VEG,2,1,W,OT,27,6,34,2,63,62,50.40%,39,47,45.30%,25,23
25,12/6/2023,202312060STL,STL,vs,VEG,3,6,L,,29,16,49,6,42,52,44.70%,27,43,38.60%,20,22
26,12/8/2023,202312080CBJ,STL,@,CBJ,2,5,L,,43,6,22,8,61,35,63.50%,50,28,64.10%,18,30
27,12/9/2023,202312090CHI,STL,@,CHI,1,3,L,,39,11,24,11,70,39,64.20%,53,30,63.90%,19,25
28,12/12/2023,202312120STL,STL,vs,DET,4,6,L,,37,10,32,6,51,29,63.80%,37,23,61.70%,22,27
29,12/14/2023,202312140STL,STL,vs,OTT,4,2,W,,30,9,34,11,45,53,45.90%,37,40,48.10%,18,21
30,12/16/2023,202312160STL,STL,vs,DAL,4,3,W,OT,34,6,23,2,56,49,53.30%,43,35,55.10%,24,33
31,12/19/2023,202312190TBL,STL,@,TBL,1,6,L,,29,13,33,23,48,41,53.90%,33,30,52.40%,11,19
32,12/21/2023,202312210FLA,STL,@,FLA,4,1,W,,24,2,38,2,34,70,32.70%,31,54,36.50%,14,35
33,12/23/2023,202312230STL,STL,vs,CHI,7,5,W,,42,4,20,8,54,40,57.40%,43,29,59.70%,26,20
34,12/27/2023,202312270STL,STL,vs,DAL,2,1,W,,30,4,40,8,34,71,32.40%,25,54,31.60%,29,24
35,12/29/2023,202312290STL,STL,vs,COL,1,2,L,,29,4,23,8,43,33,56.60%,35,25,58.30%,17,15
36,12/30/2023,202312300PIT,STL,@,PIT,2,4,L,,27,6,30,6,53,47,53.00%,35,31,53.00%,16,32
37,1/4/2024,202401040STL,STL,vs,VAN,2,1,W,,32,2,26,4,51,55,48.10%,41,44,48.20%,27,15
38,1/6/2024,202401060CAR,STL,@,CAR,2,1,W,SO,22,2,30,2,42,73,36.50%,29,49,37.20%,21,28
39,1/9/2024,202401090STL,STL,vs,FLA,1,5,L,,30,10,31,12,45,31,59.20%,33,25,56.90%,22,20
40,1/11/2024,202401110STL,STL,vs,NYR,5,2,W,,20,6,43,8,33,65,33.70%,21,44,32.30%,16,16
41,1/13/2024,202401130STL,STL,vs,BOS,3,4,L,OT,23,8,35,6,32,63,33.70%,24,48,33.30%,22,20
42,1/15/2024,202401150STL,STL,vs,PHI,2,4,L,,30,4,42,6,54,71,43.20%,36,53,40.40%,19,27
43,1/18/2024,202401180WSH,STL,@,WSH,2,5,L,,20,8,26,10,34,35,49.30%,20,21,48.80%,17,18
44,1/20/2024,202401200STL,STL,vs,WSH,3,0,W,,29,22,18,20,47,28,62.70%,31,20,60.80%,16,24
45,1/23/2024,202401230CGY,STL,@,CGY,4,3,W,,26,6,35,2,45,55,45.00%,30,39,43.50%,25,23
46,1/24/2024,202401240VAN,STL,@,VAN,4,3,W,OT,18,6,32,6,39,62,38.60%,24,43,35.80%,21,20
47,1/26/2024,202401260SEA,STL,@,SEA,4,3,W,OT,18,4,36,4,34,68,33.30%,28,51,35.40%,24,22
48,1/28/2024,202401280STL,STL,vs,LAK,4,3,W,OT,32,2,33,12,33,48,40.70%,23,39,37.10%,20,17
49,1/30/2024,202401300STL,STL,vs,CBJ,0,1,L,,21,9,22,11,50,48,51.00%,32,33,49.20%,20,21
50,2/10/2024,202402100BUF,STL,@,BUF,3,1,W,,26,8,34,6,44,58,43.10%,32,42,43.20%,22,30
51,2/11/2024,202402110MTL,STL,@,MTL,7,2,W,,36,38,32,29,37,48,43.50%,31,36,46.30%,17,18
52,2/13/2024,202402130TOR,STL,@,TOR,1,4,L,,15,4,32,4,38,53,41.80%,24,43,35.80%,17,24
53,2/15/2024,202402150STL,STL,vs,EDM,6,3,W,,30,11,38,21,40,53,43.00%,29,39,42.60%,26,20
54,2/17/2024,202402170STL,STL,vs,NSH,2,5,L,,37,8,33,8,53,48,52.50%,39,38,50.60%,15,25
55,2/19/2024,202402190STL,STL,vs,TOR,2,4,L,,21,4,29,4,54,40,57.40%,28,33,45.90%,26,26
56,2/22/2024,202402220STL,STL,vs,NYI,4,0,W,,25,12,38,12,31,29,51.70%,24,25,49.00%,12,24
57,2/24/2024,202402240DET,STL,@,DET,1,6,L,,23,6,34,4,33,55,37.50%,29,44,39.70%,20,24
58,2/27/2024,202402270WPG,STL,@,WPG,2,4,L,,38,11,32,13,62,55,53.00%,48,41,53.90%,34,18
59,2/28/2024,202402280EDM,STL,@,EDM,2,3,L,OT,34,4,36,6,49,69,41.50%,41,46,47.10%,23,29
60,3/2/2024,202403020STL,STL,vs,MIN,3,1,W,,27,4,22,14,29,57,33.70%,22,38,36.70%,12,19
61,3/4/2024,202403040PHI,STL,@,PHI,2,1,W,SO,25,4,42,6,54,60,47.40%,28,46,37.80%,23,24
62,3/5/2024,202403050NYI,STL,@,NYI,2,4,L,,21,0,33,2,37,66,35.90%,24,49,32.90%,13,26
63,3/7/2024,202403070NJD,STL,@,NJD,1,4,L,,24,4,33,6,42,54,43.80%,31,41,43.10%,27,25
64,3/9/2024,202403090NYR,STL,@,NYR,0,4,L,,26,12,39,4,40,59,40.40%,30,45,40.00%,19,19
65,3/11/2024,202403110BOS,STL,@,BOS,5,1,W,,22,6,37,6,33,55,37.50%,26,46,36.10%,21,14
66,3/13/2024,202403130STL,STL,vs,LAK,3,1,W,,30,4,41,4,48,68,41.40%,40,51,44.00%,26,31
67,3/16/2024,202403160STL,STL,vs,MIN,3,2,W,SO,37,9,24,13,67,61,52.30%,50,30,62.50%,35,19
68,3/17/2024,202403170STL,STL,vs,ANA,4,2,W,,27,4,28,12,43,47,47.80%,29,34,46.00%,29,13
69,3/19/2024,202403190STL,STL,vs,COL,3,4,L,,33,6,35,6,58,56,50.90%,45,43,51.10%,25,26
70,3/21/2024,202403210OTT,STL,@,OTT,5,2,W,,27,6,39,4,33,59,35.90%,26,45,36.60%,18,22
71,3/23/2024,202403230MIN,STL,@,MIN,5,4,W,OT,27,4,34,4,47,59,44.30%,37,49,43.00%,32,26
72,3/25/2024,202403250STL,STL,vs,VEG,1,2,L,OT,32,9,34,9,47,54,46.50%,33,38,46.50%,24,22
73,3/28/2024,202403280STL,STL,vs,CGY,5,3,W,,19,11,28,11,36,52,40.90%,27,37,42.20%,32,19
74,3/30/2024,202403300STL,STL,vs,SJS,0,4,L,,35,6,20,4,78,31,71.60%,56,23,70.90%,32,20
75,4/1/2024,202404010STL,STL,vs,EDM,3,2,W,OT,29,11,38,15,33,56,37.10%,28,42,40.00%,24,22
76,4/4/2024,202404040NSH,STL,@,NSH,3,6,L,,47,10,31,16,60,42,58.80%,50,30,62.50%,21,22
77,4/6/2024,202404060SJS,STL,@,SJS,2,3,L,OT,36,30,25,42,43,24,64.20%,37,19,66.10%,19,18
78,4/7/2024,202404070ANA,STL,@,ANA,6,5,W,SO,31,6,38,8,43,57,43.00%,31,47,39.70%,26,23
79,4/10/2024,202404100STL,STL,vs,CHI,5,2,W,,26,8,20,10,52,35,59.80%,36,25,59.00%,19,18
80,4/12/2024,202404120STL,STL,vs,CAR,2,5,L,,31,6,42,6,48,69,41.00%,34,51,40.00%,25,25
81,4/14/2024,202404140STL,STL,vs,SEA,4,1,W,,28,6,20,2,50,49,50.50%,36,33,52.20%,24,15
82,4/17/2024,202404170DAL,STL,@,DAL,1,2,L,SO,26,6,37,2,42,63,40.00%,32,49,39.50%,18,22
1,10/10/2023,202310100TBL,TBL,vs,NSH,5,3,W,,34,8,31,10,45,47,48.90%,36,33,52.20%,25,19
2,10/14/2023,202310140DET,TBL,@,DET,4,6,L,,25,4,42,6,61,60,50.40%,38,50,43.20%,23,22
3,10/15/2023,202310150OTT,TBL,@,OTT,2,5,L,,24,8,38,6,44,53,45.40%,29,39,42.60%,33,21
4,10/17/2023,202310170BUF,TBL,@,BUF,2,3,L,OT,25,11,31,13,47,48,49.50%,36,39,48.00%,22,22
5,10/19/2023,202310190TBL,TBL,vs,VAN,4,3,W,,36,7,29,11,41,55,42.70%,29,32,47.50%,24,29
6,10/21/2023,202310210TBL,TBL,vs,TOR,3,4,L,OT,31,4,52,8,53,72,42.40%,37,59,38.50%,32,22
7,10/24/2023,202310240TBL,TBL,vs,CAR,3,0,W,,23,17,32,37,32,51,38.60%,25,36,41.00%,16,21
8,10/26/2023,202310260TBL,TBL,vs,SJS,6,0,W,,31,6,23,10,62,34,64.60%,43,26,62.30%,14,26
9,10/30/2023,202310300TBL,TBL,vs,SEA,3,4,L,OT,37,6,43,4,61,67,47.70%,43,55,43.90%,24,18
10,11/2/2023,202311020CBJ,TBL,@,CBJ,2,4,L,,29,10,28,8,54,49,52.40%,31,34,47.70%,26,24
11,11/4/2023,202311040OTT,TBL,@,OTT,6,4,W,,38,13,28,11,59,40,59.60%,43,31,58.10%,32,21
12,11/6/2023,202311060TOR,TBL,@,TOR,5,6,L,OT,31,6,34,6,44,47,48.40%,30,38,44.10%,29,23
13,11/7/2023,202311070MTL,TBL,@,MTL,5,3,W,,32,21,26,19,39,40,49.40%,29,29,50.00%,19,19
14,11/9/2023,202311090TBL,TBL,vs,CHI,3,5,L,,33,22,29,8,51,29,63.80%,35,25,58.30%,33,19
15,11/11/2023,202311110TBL,TBL,vs,CAR,0,4,L,,22,11,32,11,41,50,45.10%,26,40,39.40%,26,22
16,11/14/2023,202311140STL,TBL,@,STL,0,5,L,,30,0,29,4,68,47,59.10%,41,35,53.90%,22,26
17,11/16/2023,202311160CHI,TBL,@,CHI,4,2,W,,32,11,14,13,59,29,67.00%,46,16,74.20%,22,29
18,11/18/2023,202311180TBL,TBL,vs,EDM,6,4,W,,24,17,42,15,40,59,40.40%,28,46,37.80%,29,20
19,11/20/2023,202311200TBL,TBL,vs,BOS,5,4,W,OT,47,6,27,14,61,42,59.20%,43,32,57.30%,26,20
20,11/22/2023,202311220TBL,TBL,vs,WPG,2,3,L,OT,33,4,32,2,69,45,60.50%,46,36,56.10%,20,18
21,11/24/2023,202311240CAR,TBL,@,CAR,8,2,W,,14,34,24,22,25,51,32.90%,18,34,34.60%,15,24
22,11/27/2023,202311270COL,TBL,@,COL,1,4,L,,39,40,23,26,56,40,58.30%,39,31,55.70%,23,24
23,11/28/2023,202311280ARI,TBL,@,ARI,1,3,L,,31,9,27,9,67,40,62.60%,43,31,58.10%,19,17
24,11/30/2023,202311300TBL,TBL,vs,PIT,2,4,L,,41,2,29,4,74,57,56.50%,57,40,58.80%,16,25
25,12/2/2023,202312020DAL,TBL,@,DAL,1,8,L,,33,4,34,12,42,43,49.40%,35,37,48.60%,25,21
26,12/4/2023,202312040TBL,TBL,vs,DAL,4,0,W,,23,4,25,4,46,61,43.00%,33,38,46.50%,20,28
27,12/6/2023,202312060TBL,TBL,vs,PIT,3,1,W,,27,8,25,8,36,53,40.40%,30,31,49.20%,16,23
28,12/7/2023,202312070NSH,TBL,@,NSH,1,5,L,,33,23,30,13,48,50,49.00%,35,36,49.30%,22,19
29,12/9/2023,202312090SEA,TBL,@,SEA,4,3,W,OT,30,12,29,6,39,49,44.30%,29,35,45.30%,23,18
30,12/12/2023,202312120VAN,TBL,@,VAN,1,4,L,,29,4,22,6,52,40,56.50%,35,30,53.80%,22,20
31,12/14/2023,202312140EDM,TBL,@,EDM,7,4,W,,24,8,57,4,42,66,38.90%,24,50,32.40%,25,26
32,12/16/2023,202312160CGY,TBL,@,CGY,2,4,L,,33,9,26,9,61,54,53.00%,43,35,55.10%,34,18
33,12/19/2023,202312190TBL,TBL,vs,STL,6,1,W,,33,23,29,13,47,47,50.00%,30,33,47.60%,19,11
34,12/21/2023,202312210TBL,TBL,vs,VEG,5,4,W,,36,18,34,18,60,50,54.50%,38,37,50.70%,21,24
35,12/23/2023,202312230WSH,TBL,@,WSH,2,1,W,SO,20,2,34,4,53,59,47.30%,36,39,48.00%,26,14
36,12/27/2023,202312270TBL,TBL,vs,FLA,2,3,L,,29,12,31,12,45,48,48.40%,35,34,50.70%,19,22
37,12/30/2023,202312300TBL,TBL,vs,NYR,1,5,L,,35,8,21,10,68,37,64.80%,46,30,60.50%,26,24
38,12/31/2023,202312310TBL,TBL,vs,MTL,4,3,W,,20,19,29,13,48,59,44.90%,30,43,41.10%,16,30
39,1/2/2024,202401020WPG,TBL,@,WPG,2,4,L,,34,6,28,6,59,45,56.70%,42,34,55.30%,20,16
40,1/4/2024,202401040MIN,TBL,@,MIN,4,1,W,,30,7,23,11,46,41,52.90%,38,28,57.60%,18,25
41,1/6/2024,202401060BOS,TBL,@,BOS,3,7,L,,26,8,26,8,43,27,61.40%,32,19,62.70%,17,19
42,1/9/2024,202401090TBL,TBL,vs,LAK,3,2,W,OT,29,4,22,6,64,40,61.50%,40,30,57.10%,20,19
43,1/11/2024,202401110TBL,TBL,vs,NJD,4,3,W,OT,20,6,30,10,32,55,36.80%,21,40,34.40%,19,18
44,1/13/2024,202401130TBL,TBL,vs,ANA,5,1,W,,41,20,20,10,61,36,62.90%,48,25,65.80%,21,21
45,1/18/2024,202401180TBL,TBL,vs,MIN,7,3,W,,38,8,33,10,54,56,49.10%,41,40,50.60%,29,13
46,1/20/2024,202401200BUF,TBL,@,BUF,3,1,W,,16,4,27,6,36,51,41.40%,25,38,39.70%,24,18
47,1/21/2024,202401210DET,TBL,@,DET,1,2,L,,28,4,35,6,39,43,47.60%,30,30,50.00%,29,21
48,1/23/2024,202401230PHI,TBL,@,PHI,6,3,W,,21,6,32,8,47,61,43.50%,26,47,35.60%,19,26
49,1/25/2024,202401250TBL,TBL,vs,ARI,6,3,W,,37,12,20,26,47,38,55.30%,33,25,56.90%,19,17
50,1/27/2024,202401270TBL,TBL,vs,NJD,6,3,W,,42,2,24,6,64,41,61.00%,51,33,60.70%,24,24
51,2/7/2024,202402070NYR,TBL,@,NYR,1,3,L,,18,4,24,2,55,42,56.70%,33,35,48.50%,17,14
52,2/8/2024,202402080NYI,TBL,@,NYI,2,6,L,,20,8,24,4,45,30,60.00%,26,21,55.30%,21,14
53,2/10/2024,202402100CBJ,TBL,@,CBJ,4,2,W,,37,15,35,15,55,56,49.50%,41,42,49.40%,26,18
54,2/13/2024,202402130BOS,TBL,@,BOS,3,2,W,SO,25,12,38,6,39,59,39.80%,29,44,39.70%,21,21
55,2/15/2024,202402150TBL,TBL,vs,COL,6,3,W,,39,6,31,4,58,46,55.80%,41,34,54.70%,34,26
56,2/17/2024,202402170TBL,TBL,vs,FLA,2,9,L,,30,90,30,90,56,39,58.90%,40,29,58.00%,18,23
57,2/19/2024,202402190TBL,TBL,vs,OTT,2,4,L,,25,9,28,7,70,59,54.30%,41,38,51.90%,33,31
58,2/22/2024,202402220TBL,TBL,vs,WSH,3,5,L,,32,8,24,6,49,38,56.30%,38,28,57.60%,19,23
59,2/24/2024,202402240NYI,TBL,@,NYI,4,2,W,,21,10,34,6,51,41,55.40%,32,32,50.00%,22,20
60,2/25/2024,202402250NJD,TBL,@,NJD,4,1,W,,27,8,19,6,46,49,48.40%,38,28,57.60%,20,23
61,2/27/2024,202402270PHI,TBL,@,PHI,2,6,L,,22,6,31,4,53,48,52.50%,29,38,43.30%,32,27
62,2/29/2024,202402290TBL,TBL,vs,BUF,2,3,L,OT,23,6,23,6,41,42,49.40%,32,24,57.10%,21,16
63,3/2/2024,202403020TBL,TBL,vs,MTL,4,3,W,SO,29,9,31,9,52,52,50.00%,39,37,51.30%,26,23
64,3/7/2024,202403070TBL,TBL,vs,CGY,3,6,L,,22,10,24,10,48,34,58.50%,28,28,50.00%,31,14
65,3/9/2024,202403090TBL,TBL,vs,PHI,7,0,W,,26,21,25,43,40,49,44.90%,25,33,43.10%,17,27
66,3/14/2024,202403140TBL,TBL,vs,NYR,6,3,W,,28,6,28,6,53,48,52.50%,32,37,46.40%,27,23
67,3/16/2024,202403160FLA,TBL,@,FLA,5,3,W,,16,28,50,39,26,49,34.70%,21,36,36.80%,25,24
68,3/19/2024,202403190VEG,TBL,@,VEG,5,3,W,,21,6,27,8,32,50,39.00%,21,36,36.80%,15,17
69,3/21/2024,202403210SJS,TBL,@,SJS,4,1,W,,21,8,22,8,35,43,44.90%,26,27,49.10%,21,19
70,3/23/2024,202403230LAK,TBL,@,LAK,3,4,L,OT,24,6,23,6,55,39,58.50%,36,22,62.10%,20,21
71,3/24/2024,202403240ANA,TBL,@,ANA,3,2,W,OT,27,8,32,6,51,43,54.30%,37,30,55.20%,26,20
72,3/27/2024,202403270TBL,TBL,vs,BOS,3,1,W,,31,9,24,7,55,34,61.80%,39,23,62.90%,25,20
73,3/30/2024,202403300TBL,TBL,vs,NYI,4,1,W,,40,4,28,4,70,61,53.40%,50,44,53.20%,35,26
74,4/1/2024,202404010TBL,TBL,vs,DET,2,4,L,,36,6,32,6,57,45,55.90%,38,32,54.30%,26,25
75,4/3/2024,202404030TOR,TBL,@,TOR,4,1,W,,25,15,29,13,40,52,43.50%,28,37,43.10%,22,25
76,4/4/2024,202404040MTL,TBL,@,MTL,7,4,W,,35,14,30,16,43,51,45.70%,31,33,48.40%,26,21
77,4/6/2024,202404060PIT,TBL,@,PIT,4,5,L,,34,4,28,8,52,60,46.40%,32,41,43.80%,20,26
78,4/9/2024,202404090TBL,TBL,vs,CBJ,5,2,W,,33,4,32,4,51,56,47.70%,37,42,46.80%,31,24
79,4/11/2024,202404110TBL,TBL,vs,OTT,2,3,L,SO,26,20,27,12,36,51,41.40%,24,32,42.90%,28,16
80,4/13/2024,202404130WSH,TBL,@,WSH,2,4,L,,34,11,34,7,54,43,55.70%,40,30,57.10%,23,25
81,4/15/2024,202404150TBL,TBL,vs,BUF,2,4,L,,33,4,34,4,54,49,52.40%,44,38,53.70%,28,23
82,4/17/2024,202404170TBL,TBL,vs,TOR,6,4,W,,32,8,38,10,49,53,48.00%,37,40,48.10%,17,19
1,10/11/2023,202310110TOR,TOR,vs,MTL,6,5,W,SO,42,15,24,25,56,40,58.30%,43,30,58.90%,20,20
2,10/14/2023,202310140TOR,TOR,vs,MIN,7,4,W,,33,9,32,13,44,59,42.70%,37,43,46.30%,32,32
3,10/16/2023,202310160TOR,TOR,vs,CHI,1,4,L,,36,13,31,11,79,53,59.80%,54,32,62.80%,32,18
4,10/19/2023,202310190FLA,TOR,@,FLA,1,3,L,,30,8,24,10,48,38,55.80%,26,25,51.00%,22,28
5,10/21/2023,202310210TBL,TOR,@,TBL,4,3,W,OT,52,8,31,4,73,53,57.90%,59,37,61.50%,22,32
6,10/24/2023,202310240WSH,TOR,@,WSH,4,1,W,,17,6,38,6,31,45,40.80%,17,35,32.70%,20,14
7,10/26/2023,202310260DAL,TOR,@,DAL,4,1,W,,24,4,32,8,46,62,42.60%,32,44,42.10%,27,25
8,10/28/2023,202310280NSH,TOR,@,NSH,2,3,L,OT,35,10,24,8,56,43,56.60%,38,33,53.50%,26,18
9,10/31/2023,202310310TOR,TOR,vs,LAK,1,4,L,,30,18,27,8,37,52,41.60%,30,38,44.10%,21,16
10,11/2/2023,202311020BOS,TOR,@,BOS,2,3,L,SO,35,4,40,4,59,68,46.50%,47,52,47.50%,16,31
11,11/4/2023,202311040TOR,TOR,vs,BUF,4,6,L,,28,6,41,8,40,50,44.40%,23,39,37.10%,29,14
12,11/6/2023,202311060TOR,TOR,vs,TBL,6,5,W,OT,34,6,31,6,49,43,53.30%,38,30,55.90%,23,29
13,11/8/2023,202311080TOR,TOR,vs,OTT,3,6,L,,30,6,31,4,58,46,55.80%,43,35,55.10%,23,18
14,11/10/2023,202311100TOR,TOR,vs,CGY,5,4,W,SO,36,6,28,4,76,54,58.50%,57,39,59.40%,28,19
15,11/11/2023,202311110TOR,TOR,vs,VAN,5,2,W,,22,42,33,14,39,47,45.30%,30,35,46.20%,17,18
16,11/17/2023,202311170DET,TOR,@,DET,3,2,W,,29,12,29,10,48,42,53.30%,31,28,52.50%,26,24
17,11/19/2023,202311190MIN,TOR,@,MIN,4,3,W,OT,25,6,36,4,53,54,49.50%,36,41,46.80%,32,24
18,11/24/2023,202311240CHI,TOR,@,CHI,3,4,L,OT,37,10,34,8,61,61,50.00%,41,43,48.80%,25,17
19,11/25/2023,202311250PIT,TOR,@,PIT,2,3,L,,33,6,35,6,61,61,50.00%,42,45,48.30%,28,21
20,11/28/2023,202311280TOR,TOR,vs,FLA,2,1,W,SO,32,11,39,17,38,68,35.80%,31,46,40.30%,23,18
21,11/30/2023,202311300TOR,TOR,vs,SEA,4,3,W,SO,28,12,40,8,39,57,40.60%,26,43,37.70%,27,14
22,12/2/2023,202312020TOR,TOR,vs,BOS,3,4,L,OT,40,2,37,2,68,63,51.90%,50,45,52.60%,30,26
23,12/7/2023,202312070OTT,TOR,@,OTT,4,3,W,,22,4,41,2,53,63,45.70%,30,43,41.10%,25,18
24,12/9/2023,202312090TOR,TOR,vs,NSH,4,0,W,,37,11,18,15,45,32,58.40%,31,20,60.80%,20,14
25,12/11/2023,202312110NYI,TOR,@,NYI,3,4,L,OT,40,2,29,2,68,58,54.00%,52,48,52.00%,29,25
26,12/12/2023,202312120NYR,TOR,@,NYR,7,3,W,,30,8,31,10,41,66,38.30%,32,47,40.50%,23,24
27,12/14/2023,202312140TOR,TOR,vs,CBJ,5,6,L,OT,48,6,35,6,93,46,66.90%,55,39,58.50%,32,26
28,12/16/2023,202312160TOR,TOR,vs,PIT,7,0,W,,35,15,38,33,40,56,41.70%,33,40,45.20%,20,22
29,12/19/2023,202312190TOR,TOR,vs,NYR,2,5,L,,33,4,36,0,62,53,53.90%,46,37,55.40%,21,21
30,12/21/2023,202312210BUF,TOR,@,BUF,3,9,L,,27,10,34,8,41,52,44.10%,25,41,37.90%,21,15
31,12/23/2023,202312230CBJ,TOR,@,CBJ,4,1,W,,30,12,28,8,44,46,48.90%,32,30,51.60%,24,18
32,12/27/2023,202312270TOR,TOR,vs,OTT,2,4,L,,36,7,30,11,70,49,58.80%,50,39,56.20%,30,24
33,12/29/2023,202312290CBJ,TOR,@,CBJ,5,6,L,OT,33,11,21,15,57,50,53.30%,44,33,57.10%,36,27
34,12/30/2023,202312300TOR,TOR,vs,CAR,2,3,L,,27,10,28,8,46,42,52.30%,32,32,50.00%,31,17
35,1/2/2024,202401020LAK,TOR,@,LAK,3,0,W,,29,11,31,13,42,64,39.60%,29,39,42.60%,24,25
36,1/3/2024,202401030ANA,TOR,@,ANA,2,1,W,OT,57,24,28,29,72,34,67.90%,53,24,68.80%,31,18
37,1/6/2024,202401060SJS,TOR,@,SJS,4,1,W,,32,0,24,4,72,50,59.00%,51,39,56.70%,27,24
38,1/9/2024,202401090TOR,TOR,vs,SJS,7,1,W,,46,2,23,6,79,34,69.90%,57,27,67.90%,35,21
39,1/11/2024,202401110NYI,TOR,@,NYI,3,4,L,OT,35,6,30,2,62,51,54.90%,41,34,54.70%,23,21
40,1/13/2024,202401130TOR,TOR,vs,COL,3,5,L,,29,8,33,2,53,59,47.30%,38,42,47.50%,20,23
41,1/14/2024,202401140TOR,TOR,vs,DET,2,4,L,,30,4,24,6,56,42,57.10%,38,28,57.60%,28,17
42,1/16/2024,202401160EDM,TOR,@,EDM,2,4,L,,27,2,32,2,48,71,40.30%,37,50,42.50%,23,22
43,1/18/2024,202401180CGY,TOR,@,CGY,4,3,W,,32,8,26,6,56,52,51.90%,43,41,51.20%,28,27
44,1/20/2024,202401200VAN,TOR,@,VAN,4,6,L,,46,14,21,18,60,40,60.00%,46,29,61.30%,22,14
45,1/21/2024,202401210SEA,TOR,@,SEA,3,1,W,,26,11,17,11,55,44,55.60%,40,27,59.70%,32,13
46,1/24/2024,202401240TOR,TOR,vs,WPG,1,0,W,OT,30,4,32,10,37,60,38.10%,29,43,40.30%,27,13
47,1/27/2024,202401270WPG,TOR,@,WPG,4,2,W,,30,14,26,12,44,49,47.30%,34,40,45.90%,20,14
48,2/5/2024,202402050TOR,TOR,vs,NYI,2,3,L,,36,11,29,11,70,57,55.10%,49,41,54.40%,19,23
49,2/7/2024,202402070TOR,TOR,vs,DAL,5,4,W,,31,8,31,6,45,66,40.50%,34,44,43.60%,25,30
50,2/10/2024,202402100OTT,TOR,@,OTT,3,5,L,,35,19,32,0,68,56,54.80%,51,42,54.80%,20,22
51,2/13/2024,202402130TOR,TOR,vs,STL,4,1,W,,32,4,15,4,55,38,59.10%,43,24,64.20%,24,17
52,2/15/2024,202402150TOR,TOR,vs,PHI,4,3,W,OT,28,15,32,25,49,45,52.10%,34,32,51.50%,25,22
53,2/17/2024,202402170TOR,TOR,vs,ANA,9,2,W,,32,15,21,29,44,40,52.40%,33,29,53.20%,19,14
54,2/19/2024,202402190STL,TOR,@,STL,4,2,W,,29,4,21,4,41,54,43.20%,33,28,54.10%,26,26
55,2/21/2024,202402210ARI,TOR,@,ARI,6,3,W,,36,10,26,14,45,51,46.90%,34,35,49.30%,24,21
56,2/22/2024,202402220VEG,TOR,@,VEG,7,3,W,,42,2,26,4,74,56,56.90%,53,35,60.20%,20,25
57,2/24/2024,202402240COL,TOR,@,COL,4,3,W,,30,2,29,4,45,66,40.50%,32,43,42.70%,22,21
58,2/27/2024,202402270TOR,TOR,vs,VEG,2,6,L,,30,8,32,2,65,48,57.50%,41,36,53.20%,24,21
59,2/29/2024,202402290TOR,TOR,vs,ARI,4,2,W,,26,5,32,17,55,68,44.70%,38,45,45.80%,25,26
60,3/2/2024,202403020TOR,TOR,vs,NYR,4,3,W,SO,34,11,35,13,62,55,53.00%,51,45,53.10%,37,28
61,3/4/2024,202403040TOR,TOR,vs,BOS,1,4,L,,33,4,27,8,45,32,58.40%,35,22,61.40%,20,16
62,3/6/2024,202403060TOR,TOR,vs,BUF,2,1,W,OT,27,4,25,2,43,49,46.70%,35,33,51.50%,26,20
63,3/7/2024,202403070BOS,TOR,@,BOS,1,4,L,,29,26,25,24,50,37,57.50%,35,30,53.80%,31,10
64,3/9/2024,202403090MTL,TOR,@,MTL,3,2,W,,27,10,31,6,48,45,51.60%,33,34,49.30%,22,23
65,3/14/2024,202403140PHI,TOR,@,PHI,6,2,W,,27,16,28,18,46,44,51.10%,33,37,47.10%,34,24
66,3/16/2024,202403160TOR,TOR,vs,CAR,4,5,L,SO,40,10,40,8,43,60,41.70%,35,49,41.70%,27,18
67,3/19/2024,202403190PHI,TOR,@,PHI,3,4,L,,30,9,30,11,77,41,65.30%,40,34,54.10%,30,17
68,3/20/2024,202403200WSH,TOR,@,WSH,7,3,W,,29,2,21,10,47,54,46.50%,36,35,50.70%,24,23
69,3/23/2024,202403230TOR,TOR,vs,EDM,6,3,W,,29,17,39,23,38,65,36.90%,31,43,41.90%,18,24
70,3/24/2024,202403240CAR,TOR,@,CAR,1,2,L,,33,6,43,8,52,58,47.30%,41,44,48.20%,18,26
71,3/26/2024,202403260TOR,TOR,vs,NJD,3,6,L,,45,4,25,4,65,38,63.10%,54,31,63.50%,18,20
72,3/28/2024,202403280TOR,TOR,vs,WSH,5,1,W,,48,4,24,2,67,48,58.30%,53,31,63.10%,32,17
73,3/30/2024,202403300BUF,TOR,@,BUF,3,0,W,,22,62,34,70,32,44,42.10%,24,33,42.10%,19,11
74,4/1/2024,202404010TOR,TOR,vs,FLA,6,4,W,,23,8,30,6,35,51,40.70%,30,40,42.90%,23,24
