Game,Date,Game_ID,Team,Location,Opp,G,GA,Result,OT/SO,SOG,PIM,SOGA,PIMA,CF at Even Strength,CA at Even Strength,CF% at Even Strength,FF at Even Strength,FA at Even Strength,FF% at Even Strength,FOW at Even Strength,FOL at Even Strength
19,11/22/2023,202311220ARI,ARI,vs,STL,5,6,L,,25,18,31,6,62,49,55.90%,47,37,56.00%,21,30
20,11/25/2023,202311250VEG,ARI,@,VEG,2,0,W,,18,12,34,6,38,47,44.70%,23,34,40.40%,14,23
21,11/28/2023,202311280ARI,ARI,vs,TBL,3,1,W,,27,9,31,9,40,66,37.70%,31,43,41.90%,17,19
22,11/30/2023,202311300ARI,ARI,vs,COL,4,3,W,OT,32,11,31,11,51,49,51.00%,36,36,50.00%,16,22
23,12/2/2023,202312020ARI,ARI,vs,STL,4,1,W,,22,8,32,6,39,63,38.20%,33,47,41.30%,35,22
24,12/4/2023,202312040ARI,ARI,vs,WSH,6,0,W,,27,10,26,10,32,47,40.50%,23,29,44.20%,25,16
25,12/7/2023,202312070ARI,ARI,vs,PHI,1,4,L,,26,0,26,6,60,47,56.10%,41,38,51.90%,23,23
26,12/9/2023,202312090BOS,ARI,@,BOS,3,5,L,,33,6,29,10,43,40,51.80%,30,30,50.00%,10,32
27,12/11/2023,202312110BUF,ARI,@,BUF,2,5,L,,23,4,38,6,36,55,39.60%,27,44,38.00%,20,29
28,12/12/2023,202312120PIT,ARI,@,PIT,2,4,L,,21,10,43,12,45,62,42.10%,31,50,38.30%,15,29
29,12/15/2023,202312150ARI,ARI,vs,SJS,1,0,W,,24,0,21,8,46,51,47.40%,32,36,47.10%,30,20
30,12/16/2023,202312160ARI,ARI,vs,BUF,2,0,W,,22,4,28,6,54,55,49.50%,34,38,47.20%,18,15
31,12/19/2023,202312190ARI,ARI,vs,OTT,4,3,W,,38,15,22,15,67,44,60.40%,46,32,59.00%,28,24
32,12/21/2023,202312210SJS,ARI,@,SJS,5,2,W,,30,2,31,6,56,59,48.70%,37,41,47.40%,16,22
33,12/23/2023,202312230COL,ARI,@,COL,1,4,L,,25,9,26,11,35,33,51.50%,28,25,52.80%,18,19
34,12/27/2023,202312270ARI,ARI,vs,COL,5,4,W,OT,27,8,24,4,58,38,60.40%,43,30,58.90%,21,25
