Season,Date,Game_ID,Player,Player_ID,Team,Location,Opp,Result,GA,SA,SV,SV%,TOI
2023-24,10/17/2023,202310170SJS,Mackenzie Blackwood,blackma01,SJS,vs,CAR,L,6,42,36,86.00%,60.00
2023-24,10/21/2023,202310210NSH,Mackenzie Blackwood,blackma01,SJS,@,NSH,L,5,34,29,85.00%,60.00
2023-24,10/24/2023,202310240FLA,Mackenzie Blackwood,blackma01,SJS,@,FLA,L,2,35,33,94.00%,56.87
2023-24,10/26/2023,202310260TBL,Mackenzie Blackwood,blackma01,SJS,@,TBL,L,5,21,16,76.00%,27.48
2023-24,10/29/2023,202310290WSH,Mackenzie Blackwood,blackma01,SJS,@,WSH,L,2,41,39,95.00%,59.50
2023-24,11/2/2023,202311020SJS,Mackenzie Blackwood,blackma01,SJS,vs,VAN,L,4,14,10,71.00%,31.22
2023-24,11/4/2023,202311040SJS,Mackenzie Blackwood,blackma01,SJS,vs,PIT,L,6,18,12,67.00%,29.45
2023-24,11/7/2023,202311070SJS,Mackenzie Blackwood,blackma01,SJS,vs,PHI,W,1,39,38,97.00%,60.00
2023-24,11/9/2023,202311090SJS,Mackenzie Blackwood,blackma01,SJS,vs,EDM,W,2,41,39,95.00%,60.00
2023-24,11/12/2023,202311120ANA,Mackenzie Blackwood,blackma01,SJS,@,ANA,L,4,44,40,91.00%,60.00
2023-24,11/14/2023,202311140SJS,Mackenzie Blackwood,blackma01,SJS,vs,FLA,L,4,30,26,87.00%,57.23
2023-24,11/20/2023,202311200VAN,Mackenzie Blackwood,blackma01,SJS,@,VAN,L,3,37,34,92.00%,58.75
2023-24,11/22/2023,202311220SEA,Mackenzie Blackwood,blackma01,SJS,@,SEA,L,3,13,10,77.00%,40.00
2023-24,11/24/2023,202311240SJS,Mackenzie Blackwood,blackma01,SJS,vs,MTL,L-SO,2,24,22,92.00%,64.68
2023-24,11/27/2023,202311270SJS,Mackenzie Blackwood,blackma01,SJS,vs,WSH,W,1,34,33,97.00%,60.00
2023-24,11/30/2023,202311300BOS,Mackenzie Blackwood,blackma01,SJS,@,BOS,L,3,37,34,92.00%,60.00
2023-24,12/3/2023,202312030NYR,Mackenzie Blackwood,blackma01,SJS,@,NYR,L,6,36,30,83.00%,57.98
2023-24,12/7/2023,202312070DET,Mackenzie Blackwood,blackma01,SJS,@,DET,W,4,20,16,80.00%,33.67
2023-24,12/12/2023,202312120SJS,Mackenzie Blackwood,blackma01,SJS,vs,WPG,W,1,37,36,97.00%,60.00
2023-24,12/17/2023,202312170COL,Mackenzie Blackwood,blackma01,SJS,@,COL,L,5,28,23,82.00%,59.68
2023-24,12/21/2023,202312210SJS,Mackenzie Blackwood,blackma01,SJS,vs,ARI,L,5,30,25,83.00%,60.00
2023-24,12/23/2023,202312230VAN,Mackenzie Blackwood,blackma01,SJS,@,VAN,L,6,25,19,76.00%,58.00
2023-24,1/4/2024,202401040SJS,Mackenzie Blackwood,blackma01,SJS,vs,WPG,L,2,30,28,93.00%,58.00
2023-24,1/6/2024,202401060SJS,Mackenzie Blackwood,blackma01,SJS,vs,TOR,L,4,32,28,88.00%,60.00
2023-24,1/9/2024,202401090TOR,Mackenzie Blackwood,blackma01,SJS,@,TOR,L,3,26,23,89.00%,37.90
2023-24,1/11/2024,202401110MTL,Mackenzie Blackwood,blackma01,SJS,@,MTL,W,2,35,33,94.00%,60.00
2023-24,1/13/2024,202401130OTT,Mackenzie Blackwood,blackma01,SJS,@,OTT,L,5,41,36,88.00%,59.92
2023-24,1/16/2024,202401160CHI,Mackenzie Blackwood,blackma01,SJS,@,CHI,L-SO,1,25,24,96.00%,64.90
2023-24,1/20/2024,202401200SJS,Mackenzie Blackwood,blackma01,SJS,vs,ANA,W,3,34,31,91.00%,60.00
2023-24,1/23/2024,202401230SJS,Mackenzie Blackwood,blackma01,SJS,vs,NYR,W,2,31,29,94.00%,61.48
2023-24,1/30/2024,202401300SJS,Mackenzie Blackwood,blackma01,SJS,vs,SEA,W,0,32,32,100.00%,60.00
2023-24,2/15/2024,202402150CGY,Mackenzie Blackwood,blackma01,SJS,@,CGY,W,3,34,31,91.00%,60.00
2023-24,2/19/2024,202402190SJS,Mackenzie Blackwood,blackma01,SJS,vs,VEG,L,4,26,22,85.00%,59.62
2023-24,2/27/2024,202402270SJS,Mackenzie Blackwood,blackma01,SJS,vs,NJD,L,0,13,13,100.00%,17.57
2023-24,3/21/2024,202403210SJS,Mackenzie Blackwood,blackma01,SJS,vs,TBL,L,4,21,17,81.00%,60.00
2023-24,3/26/2024,202403260SJS,Mackenzie Blackwood,blackma01,SJS,vs,DAL,L,6,41,35,85.00%,60.00
